faculty_full_name,year_id,num_external_grants
Marc H. Scheetz,2011,
Marc H. Scheetz,2012,
Marc H. Scheetz,2013,
Marc H. Scheetz,2014,
Marc H. Scheetz,2015,
Marc H. Scheetz,2016,
Marc H. Scheetz,2017,
Marc H. Scheetz,2018,
Marc H. Scheetz,2019,
Margaret G. Mueller,2012,
Margaret G. Mueller,2013,
Margaret G. Mueller,2014,
Margaret G. Mueller,2015,
Margaret G. Mueller,2016,
Margaret G. Mueller,2017,
Margaret G. Mueller,2018,
Margaret G. Mueller,2019,
Margaret G. Mueller,2020,
Margaret G. Mueller,2021,
Margaret G. Mueller,2022,
Maria L. V. Dizon,2011,
Maria L. V. Dizon,2012,
Maria L. V. Dizon,2013,
Maria L. V. Dizon,2014,
Maria L. V. Dizon,2015,
Maria L. V. Dizon,2016,
Maria L. V. Dizon,2017,
Maria L. V. Dizon,2018,
Maria L. V. Dizon,2019,
Maria L. V. Dizon,2020,
Maria L. V. Dizon,2021,
Mary Alison Mahieu,2009,
Mary Alison Mahieu,2010,
Mary Alison Mahieu,2011,
Mary Alison Mahieu,2012,
Mary Alison Mahieu,2013,
Mary Alison Mahieu,2014,
Mary Alison Mahieu,2015,
Mary Alison Mahieu,2016,
Mary Alison Mahieu,2017,
Mary Alison Mahieu,2018,
Mary Alison Mahieu,2019,
Maryann Mason,2011,
Maryann Mason,2012,
Maryann Mason,2013,
Maryann Mason,2014,
Maryann Mason,2015,
Maryann Mason,2016,
Maryann Mason,2017,
Maryann Mason,2018,
Maryann Mason,2019,
Maryann Mason,2020,
Maryann Mason,2021,
Matthew James O達rien,2011,
Matthew James O達rien,2012,
Matthew James O達rien,2013,
Matthew James O達rien,2014,
Matthew James O達rien,2015,
Matthew James O達rien,2016,
Matthew James O達rien,2017,
Matthew James O達rien,2018,
Matthew James O達rien,2019,
Matthew James O達rien,2020,
Matthew James O達rien,2021,
Matthew Justin Major,2012,
Matthew Justin Major,2013,
Matthew Justin Major,2014,
Matthew Justin Major,2015,
Matthew Justin Major,2016,
Matthew Justin Major,2017,
Matthew Justin Major,2018,
Matthew Justin Major,2019,
Matthew Justin Major,2020,
Matthew Justin Major,2021,
Matthew Justin Major,2022,
Matthieu Kevin Chardon,2012,
Matthieu Kevin Chardon,2013,
Matthieu Kevin Chardon,2014,
Matthieu Kevin Chardon,2015,
Matthieu Kevin Chardon,2016,
Matthieu Kevin Chardon,2017,
Matthieu Kevin Chardon,2018,
Matthieu Kevin Chardon,2019,
Matthieu Kevin Chardon,2020,
Matthieu Kevin Chardon,2021,
Matthieu Kevin Chardon,2022,
Mehmet E. Dokucu,2012,
Mehmet E. Dokucu,2013,
Mehmet E. Dokucu,2014,
Mehmet E. Dokucu,2015,
Mehmet E. Dokucu,2016,
Mehmet E. Dokucu,2017,
Mehmet E. Dokucu,2018,
Mehmet E. Dokucu,2019,
Mehmet E. Dokucu,2020,
Mehmet E. Dokucu,2021,
Mehmet E. Dokucu,2022,
Melinda R. Ring,2013,
Melinda R. Ring,2014,
Melinda R. Ring,2015,
Melinda R. Ring,2016,
Melinda R. Ring,2017,
Melinda R. Ring,2018,
Melinda R. Ring,2019,
Melinda R. Ring,2020,
Melinda R. Ring,2021,
Melinda R. Ring,2022,
Melinda R. Ring,2023,
Michael C. Fagen,2011,
Michael C. Fagen,2012,
Michael C. Fagen,2013,
Michael C. Fagen,2014,
Michael C. Fagen,2015,
Michael C. Fagen,2016,
Michael C. Fagen,2017,
Michael C. Fagen,2018,
Michael C. Fagen,2019,
Michael C. Fagen,2020,
Michael C. Fagen,2021,
Mohammed S. Alghoul,2010,
Mohammed S. Alghoul,2011,
Mohammed S. Alghoul,2012,
Mohammed S. Alghoul,2013,
Mohammed S. Alghoul,2014,
Mohammed S. Alghoul,2015,
Mohammed S. Alghoul,2016,
Mohammed S. Alghoul,2017,
Mohammed S. Alghoul,2018,
Mohammed S. Alghoul,2019,
Mohammed S. Alghoul,2020,
Molly G. Bright,2014,
Molly G. Bright,2015,
Molly G. Bright,2016,
Molly G. Bright,2017,
Molly G. Bright,2018,
Molly G. Bright,2019,
Molly G. Bright,2020,
Molly G. Bright,2021,
Molly G. Bright,2022,
Molly G. Bright,2023,
Molly G. Bright,2024,
Netta Gurari,2013,
Netta Gurari,2014,
Netta Gurari,2015,
Netta Gurari,2016,
Netta Gurari,2017,
Netta Gurari,2018,
Netta Gurari,2019,
Netta Gurari,2020,
Netta Gurari,2021,
Netta Gurari,2022,
Netta Gurari,2023,
Nina I. Suresh,2013,
Nina I. Suresh,2014,
Nina I. Suresh,2015,
Nina I. Suresh,2016,
Nina I. Suresh,2017,
Nina I. Suresh,2018,
Nina I. Suresh,2019,
Nina I. Suresh,2020,
Nina I. Suresh,2021,
Nina I. Suresh,2022,
Nina I. Suresh,2023,
Olga V. Volpert,2010,
Olga V. Volpert,2011,
Olga V. Volpert,2012,
Olga V. Volpert,2013,
Olga V. Volpert,2014,
Olga V. Volpert,2015,
Olga V. Volpert,2016,
Olga V. Volpert,2017,
Olga V. Volpert,2018,
Olga V. Volpert,2019,
Olga V. Volpert,2020,
Paul A. Knepper,2011,
Paul A. Knepper,2012,
Paul A. Knepper,2013,
Paul A. Knepper,2014,
Paul A. Knepper,2015,
Paul A. Knepper,2016,
Paul A. Knepper,2017,
Paul A. Knepper,2018,
Paul A. Knepper,2019,
Paul A. Knepper,2020,
Paul A. Knepper,2021,
Peter M. Vila,2014,
Peter M. Vila,2015,
Peter M. Vila,2016,
Peter M. Vila,2017,
Peter M. Vila,2018,
Peter M. Vila,2019,
Peter M. Vila,2020,
Peter M. Vila,2021,
Peter M. Vila,2022,
Peter M. Vila,2023,
Peter M. Vila,2024,
Qinwen Mao,2013,
Qinwen Mao,2014,
Qinwen Mao,2015,
Qinwen Mao,2016,
Qinwen Mao,2017,
